year,internet_usage_pct,social_media_usage_pct,avg_time_online_hours,social_media_time_share_pct,cyberbullying_growth_perception_pct,cyberbullying_teens_faced_pct,juvenile_offenders_count,juvenile_offenders_share_pct,data_quality_note,internet_users_percent,daily_internet_users,internet_addiction_index,stress_from_devices,youth_online_activity,avg_screen_time_hours,moscow_spb_internet_usage,million_cities_usage,rural_usage,digital_risk_index_estimated
2011,,,,,,,,,,52.0,28.0,5.0,4.0,55.0,3.0,68.0,60.0,35.0,9.090909090909092
2012,,,,,,,,,,59.0,37.0,6.0,5.0,60.0,3.5,72.0,64.0,39.0,18.181818181818183
2013,,,,,,,,,,66.0,42.0,7.0,6.0,65.0,4.0,76.0,68.0,44.0,27.27272727272727
2014,,,,,,,,,,68.0,45.0,8.0,7.0,70.0,4.5,79.0,71.0,48.0,36.36363636363637
2015,70.1,62.0,2.2,31.0,,,55993.0,5.2,official target; info factors estimated,71.0,51.0,10.0,8.0,76.0,5.0,82.0,75.0,52.0,46.59090909090909
2016,73.1,65.0,2.4,33.0,,,48589.0,4.8,official target; info factors estimated,71.0,53.0,11.0,9.0,82.0,5.2,84.0,77.0,55.0,53.40909090909091
2017,76.0,68.0,2.7,35.0,,,42504.0,4.4,official target; info factors estimated,75.0,56.0,12.0,10.0,90.0,5.5,87.0,80.0,58.0,63.63636363636365
2018,80.9,72.0,3.0,38.0,,,40860.0,4.4,official target; info factors estimated,80.0,62.0,14.0,11.0,95.0,6.0,92.0,85.0,61.0,72.72727272727273
2019,82.6,75.0,3.3,40.0,,,37953.0,4.3,official target; info factors estimated,82.0,65.0,18.0,13.0,96.0,6.2,93.0,87.0,64.0,81.81818181818183
2020,83.7,79.0,3.7,42.0,,,33575.0,3.9,official target; info factors estimated,85.0,69.0,24.0,18.0,97.0,7.0,95.0,89.0,67.0,90.90909090909089
2021,84.0,84.0,4.0,44.0,42.0,,29126.0,3.4,WCIOM anchor + official target,88.0,72.0,32.0,20.0,98.0,8.0,96.0,91.0,70.0,100.0
2022,88.0,85.0,4.2,45.0,43.5,,26305.0,3.2,official target; info factors estimated,,,,,,,,,,
2023,92.25,86.0,4.4,46.0,44.5,,22340.0,3.0,Statbase/ITU anchor + official target,,,,,,,,,,
2024,94.36,85.0,4.5,47.0,46.0,46.0,21069.0,3.2,research anchors + official target,,,,,,,,,,
